Tren,Estación origen,Hora programada,Retraso,Hora prevista
02173,AVE,MÁLAGA MARÍA ZAMBRANO,19:45,3,19:48
03172,AVE,BARCELONA-SANTS,19:45,0,19:45
08193,AVANT,TOLEDO,19:54,0,19:54
06308,AVLO,BARCELONA-SANTS,19:55,2,19:57
02171,AVE,SEVILLA-SANTA JUSTA,20:10,2,20:12
02371,AVE,SEVILLA-SANTA JUSTA,20:17,21,20:38
08191,AVANT,PUERTOLLANO,20:28,8,20:36
05191,AVE,VALENCIA JOAQUÍN SOROLLA,20:33,0,20:33
09331,Intercity,ALGECIRAS,20:40,20,21:00
02183,AVE,MÁLAGA MARÍA ZAMBRANO,20:45,12,20:57
03180,AVE,BARCELONA-SANTS,20:55,7,21:02
03180,AVE,BARCELONA-SANTS,20:55,7,21:02
08203,AVANT,TOLEDO,20:58,0,20:58
03182,AVE,BARCELONA-SANTS,21:12,4,21:16
02181,AVE,SEVILLA-SANTA JUSTA,21:17,0,21:17
05291,AVE,VALENCIA JOAQUÍN SOROLLA,21:26,0,21:26
02193,AVE,MÁLAGA MARÍA ZAMBRANO,21:44,7,21:51
03192,AVE,FIGUERES VILAFANT,21:45,1,21:46
03190,AVE,BARCELONA-SANTS,21:55,0,21:55
03190,AVE,BARCELONA-SANTS,21:55,0,21:55
08213,AVANT,TOLEDO,22:03,0,22:03
02191,AVE,SEVILLA-SANTA JUSTA,22:17,0,22:17
02175,ALVIA,CÁDIZ,22:22,2,22:24
08211,AVANT,PUERTOLLANO,22:33,2,22:35
05903,AVE,ORIHUELA-MIGUEL HERNÁNDEZ,22:35,1,22:36
00610,ALVIA,PAMPLONA/IRUÑA,22:59,5,23:04
02203,AVE,ANTEQUERA-SANTA ANA,23:00,0,23:00
02197,AVE,ANTEQUERA-SANTA ANA,23:00,0,23:00
06511,AVLO,VALENCIA JOAQUÍN SOROLLA,23:06,1,23:07
03202,AVE,BARCELONA-SANTS,23:12,1,23:13
02211,AVE,SEVILLA-SANTA JUSTA,23:42,0,23:42
06310,AVLO,BARCELONA-SANTS,23:45,3,23:48
03610,AVE,BARCELONA-SANTS,23:55,0,23:55
08192,AVANT,TOLEDO,19:45,0,19:45
03201,AVE,BARCELONA-SANTS,20:00,0,20:00
03201,AVE,BARCELONA-SANTS,20:00,0,20:00
08200,AVANT,PUERTOLLANO,20:15,10,20:25
05200,AVE,VALENCIA JOAQUÍN SOROLLA,20:38,0,20:38
03203,AVE,BARCELONA-SANTS,20:40,3,20:43
08212,AVANT,TOLEDO,20:45,2,20:47
02210,AVE,SEVILLA-SANTA JUSTA,21:00,0,21:00
05410,AVE,VALENCIA JOAQUÍN SOROLLA,21:10,3,21:13
03211,AVE,BARCELONA-SANTS,21:10,0,21:10
08220,AVANT,PUERTOLLANO,22:15,0,22:15
15234,REGIONAL,SALOU - PORT AVENTURA,19:38,0,19:38
15092,MD,GIRONA,19:40,14,19:54
00694,TORRE ORO,CÁDIZ,20:05,12,20:17
15052,REG.EXP.,LLEIDA,20:07,8,20:15
15818,REGIONAL,PORTBOU,20:10,9,20:19
15036,REG.EXP.,FLIX,20:10,16,20:26
03941,AVE,SEVILLA-SANTA JUSTA,20:22,20,20:42
03991,AVE,SEVILLA-SANTA JUSTA,20:22,20,20:42
34292,AVANT,FIGUERES VILAFANT,20:30,0,20:30
06307,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:30,4,20:34
08207,AVANT,LLEIDA,20:35,0,20:35
08207,AVANT,LLEIDA,20:35,0,20:35
00264,Intercity,CARTAGENA,20:40,19,20:59
15074,MD,FIGUERES,20:40,23,21:03
03173,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:42,6,20:48
18058,REG.EXP.,TORTOSA,21:08,14,21:22
03183,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:20,0,21:20
03191,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:30,0,21:30
34631,AVANT,MONFORTE DE LEMOS,21:35,1,21:36
00621,ALVIA,MONFORTE DE LEMOS,21:35,1,21:36
00631,ALVIA,MONFORTE DE LEMOS,21:35,1,21:36
34631,AVANT,MONFORTE DE LEMOS,21:35,1,21:36
15016,REG.EXP.,ZARAGOZA-DELICIAS,21:37,23,22:00
15820,REGIONAL,PORTBOU,21:40,15,21:55
01192,EUROMED,ALICANTE/ALACANT,22:04,18,22:22
00437,ALVIA,CASTEJÓN DE EBRO,22:20,0,22:20
15000,MD,FIGUERES,22:20,0,22:20
03201,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:30,0,22:30
03201,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:30,0,22:30
15904,MD,PORTBOU,22:40,9,22:49
18096,REG.EXP.,TORTOSA,22:40,0,22:40
15626,REGIONAL,LLEIDA,22:42,8,22:50
06309,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:46,10,22:56
15138,REGIONAL,REUS,23:02,0,23:02
18262,REGIONAL,TORTOSA,23:32,0,23:32
15240,REGIONAL,SALOU - PORT AVENTURA,23:35,0,23:35
03211,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:40,1,23:41
03203,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:55,4,23:59
15087,MD,FIGUERES,19:46,26,20:12
15031,REG.EXP.,MORA LA NOVA,19:57,6,20:03
18087,REG.EXP.,TORTOSA,20:00,6,20:06
18189,REG.EXP.,TORTOSA,20:00,6,20:06
03202,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:00,1,20:01
08206,AVANT,LLEIDA,20:05,0,20:05
15035,REG.EXP.,REUS,20:27,12,20:39
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,36,21:06
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,36,21:06
15007,MD,FIGUERES,20:46,4,20:50
15007,MD,FIGUERES,20:46,4,20:50
18259,REG.EXP.,TORTOSA,21:00,14,21:14
06310,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:00,2,21:02
03610,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:25,0,21:25
15027,REG.EXP.,REUS,21:30,3,21:33
08216,AVANT,LLEIDA,21:30,0,21:30
03191,AVE,FIGUERES VILAFANT,21:40,0,21:40
34191,AVANT,FIGUERES VILAFANT,21:40,0,21:40
15917,MD,GIRONA,21:46,0,21:46
06309,AVLO,FIGUERES VILAFANT,22:56,10,23:06
00463,Intercity,BARCELONA-SANTS,17:34,11,17:45
18523,MD,VALENCIA-ESTACIÒ DEL NORD,18:25,32,18:57
14202,MD,CARTAGENA,18:30,1,18:31
05162,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,18:33,14,18:47
05172,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:20,3,19:23
05903,AVE,ORIHUELA-MIGUEL HERNÁNDEZ,20:02,3,20:05
05182,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,20:20,6,20:26
18181,MD,CIUDAD REAL,20:32,0,20:32
38181,REGIONAL,CIUDAD REAL,20:32,0,20:32
00165,Intercity,BARCELONA-SANTS,20:39,13,20:52
01161,EUROMED,BARCELONA-SANTS,21:05,0,21:05
05382,AVE,OURENSE,21:26,7,21:33
05212,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,22:26,5,22:31
04140,ALVIA,GIJÓN/XIXÓN,22:54,11,23:05
01181,EUROMED,FIGUERES VILAFANT,23:14,0,23:14
00463,Intercity,MURCIA,17:50,15,18:05
05183,AVE,LEÓN,17:40,1,17:41
18523,MD,CARTAGENA,18:34,32,19:06
38202,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,18:37,27,19:04
14202,MD,VALENCIA-ESTACIÒ DEL NORD,18:37,27,19:04
05203,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:45,1,19:46
05903,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:12,1,20:13
00165,Intercity,CARTAGENA,20:51,9,21:00
18012,MD,SAN SEBASTIÁN/DONOSTIA,18:55,9,19:04
18904,MD,SALAMANCA,19:48,0,19:48
18006,MD,LEÓN,20:41,0,20:41
18906,MD,SALAMANCA,20:56,0,20:56
18014,MD,SAN SEBASTIÁN/DONOSTIA,21:42,0,21:42
18908,MD,SALAMANCA,22:47,0,22:47
18913,MD,SALAMANCA-LA ALAMEDILLA,17:54,0,17:54
18005,MD,LEÓN,18:27,0,18:27
18909,MD,SALAMANCA-LA ALAMEDILLA,19:37,0,19:37
18007,MD,PALENCIA,20:28,0,20:28
18911,MD,SALAMANCA-LA ALAMEDILLA,21:12,2,21:14